Contract_Id__c,Customer__r.Customer_Id__c,Asset__r.Asset_Id__c,Contract_Tier__c,Term_Months__c,Start_Date__c,End_Date__c,Annual_Value_USD__c,Status__c
CON-50101,CUST-10001,ASSET-50101,Platinum,12,2025-12-10,2026-12-05,515000,Active
CON-50102,CUST-10001,ASSET-50102,Platinum,12,2026-04-28,2027-04-23,555000,Active
CON-50103,CUST-10001,ASSET-50103,Platinum,36,2026-06-20,2029-06-04,510000,Active
CON-50104,CUST-10001,ASSET-50104,Platinum,12,2026-08-18,2027-08-13,615000,Active
CON-50105,CUST-10001,ASSET-50105,Platinum,12,2026-01-22,2027-01-17,505000,Active
CON-50106,CUST-10001,ASSET-50106,Platinum,36,2026-08-21,2029-08-05,640000,Active
CON-50201,CUST-10002,ASSET-50201,Gold,12,2026-06-10,2027-06-05,265000,Active
CON-50202,CUST-10002,ASSET-50202,Gold,24,2025-12-07,2027-11-27,215000,Active
CON-50203,CUST-10002,ASSET-50203,Gold,12,2026-04-07,2027-04-02,305000,Active
CON-50204,CUST-10002,ASSET-50204,Gold,24,2025-10-04,2027-09-24,290000,Active
CON-50205,CUST-10002,ASSET-50205,Gold,12,2025-09-13,2026-09-08,220000,Pending Renewal
CON-50301,CUST-10003,ASSET-50301,Gold,12,2026-09-03,2027-08-29,200000,Active
CON-50302,CUST-10003,ASSET-50302,Gold,12,2026-07-20,2027-07-15,195000,Active
CON-50303,CUST-10003,ASSET-50303,Gold,24,2025-09-30,2027-09-20,195000,Active
CON-50304,CUST-10003,ASSET-50304,Gold,24,2026-08-04,2028-07-24,275000,Active
CON-50401,CUST-10004,ASSET-50401,Silver,24,2026-05-13,2028-05-02,135000,Active
CON-50402,CUST-10004,ASSET-50402,Silver,12,2025-11-21,2026-11-16,110000,Active
CON-50403,CUST-10004,ASSET-50403,Silver,12,2024-09-13,2025-09-08,130000,Expired
CON-50501,CUST-10005,ASSET-50501,Platinum,36,2026-03-05,2029-02-17,595000,Active
CON-50502,CUST-10005,ASSET-50502,Platinum,12,2026-01-27,2027-01-22,500000,Active
CON-50503,CUST-10005,ASSET-50503,Platinum,12,2026-01-22,2027-01-17,570000,Active
CON-50504,CUST-10005,ASSET-50504,Platinum,24,2025-12-07,2027-11-27,510000,Active
CON-50601,CUST-10006,ASSET-50601,Silver,36,2025-09-09,2028-08-24,115000,Active
CON-50602,CUST-10006,ASSET-50602,Silver,24,2025-09-19,2027-09-09,90000,Active
CON-50603,CUST-10006,ASSET-50603,Silver,36,2025-12-18,2028-12-02,95000,Active
CON-50701,CUST-10007,ASSET-50701,Gold,36,2026-07-06,2029-06-20,290000,Active
CON-50702,CUST-10007,ASSET-50702,Gold,36,2026-03-26,2029-03-10,275000,Active
CON-50703,CUST-10007,ASSET-50703,Gold,36,2026-01-10,2028-12-25,265000,Active
CON-50704,CUST-10007,ASSET-50704,Gold,24,2025-08-25,2027-08-15,205000,Active
CON-50705,CUST-10007,ASSET-50705,Gold,36,2026-02-05,2029-01-20,220000,Active
CON-50801,CUST-10008,ASSET-50801,Silver,24,2026-07-22,2028-07-11,130000,Active
CON-50802,CUST-10008,ASSET-50802,Silver,12,2025-10-29,2026-10-24,95000,Active
CON-50803,CUST-10008,ASSET-50803,Silver,24,2026-07-12,2028-07-01,110000,Active
CON-50901,CUST-10009,ASSET-50901,Gold,36,2025-10-30,2028-10-14,210000,Active
CON-50902,CUST-10009,ASSET-50902,Gold,36,2025-04-24,2028-04-08,210000,Active
CON-51001,CUST-10010,ASSET-51001,Bronze,36,2025-06-05,2028-05-20,45000,Active
CON-51002,CUST-10010,ASSET-51002,Bronze,12,2024-12-13,2025-12-08,35000,Expired
