contract_id,customer_id,asset_id,contract_tier,term_months,start_date,end_date,annual_value_usd,status
CON-50101,CUST-10001,ASSET-50101,Platinum,12,2024-10-08,2025-10-03,515000,Active
CON-50102,CUST-10001,ASSET-50102,Platinum,12,2024-05-22,2025-05-17,555000,Active
CON-50103,CUST-10001,ASSET-50103,Platinum,36,2024-03-30,2027-03-15,510000,Active
CON-50104,CUST-10001,ASSET-50104,Platinum,12,2024-01-31,2025-01-25,615000,Active
CON-50105,CUST-10001,ASSET-50105,Platinum,12,2024-08-26,2025-08-21,505000,Active
CON-50106,CUST-10001,ASSET-50106,Platinum,36,2024-01-28,2027-01-12,640000,Active
CON-50201,CUST-10002,ASSET-50201,Gold,12,2025-03-05,2026-02-28,265000,Active
CON-50202,CUST-10002,ASSET-50202,Gold,24,2024-10-11,2026-10-01,215000,Active
CON-50203,CUST-10002,ASSET-50203,Gold,12,2024-06-12,2025-06-07,305000,Active
CON-50204,CUST-10002,ASSET-50204,Gold,24,2024-12-14,2026-12-04,290000,Active
CON-50205,CUST-10002,ASSET-50205,Gold,12,2025-05-01,2026-04-30,220000,Pending Renewal
CON-50301,CUST-10003,ASSET-50301,Gold,12,2024-12-10,2025-12-05,200000,Active
CON-50302,CUST-10003,ASSET-50302,Gold,12,2025-01-24,2026-01-19,195000,Active
CON-50303,CUST-10003,ASSET-50303,Gold,24,2024-12-18,2026-12-08,195000,Active
CON-50304,CUST-10003,ASSET-50304,Gold,24,2024-02-14,2026-02-03,275000,Active
CON-50401,CUST-10004,ASSET-50401,Silver,24,2024-05-07,2026-04-27,135000,Active
CON-50402,CUST-10004,ASSET-50402,Silver,12,2024-10-27,2025-10-22,110000,Active
CON-50403,CUST-10004,ASSET-50403,Silver,12,2024-05-01,2025-04-30,130000,Expired
CON-50501,CUST-10005,ASSET-50501,Platinum,36,2024-07-15,2027-06-30,595000,Active
CON-50502,CUST-10005,ASSET-50502,Platinum,12,2024-08-21,2025-08-16,500000,Active
CON-50503,CUST-10005,ASSET-50503,Platinum,12,2024-08-26,2025-08-21,570000,Active
CON-50504,CUST-10005,ASSET-50504,Platinum,24,2024-10-11,2026-10-01,510000,Active
CON-50601,CUST-10006,ASSET-50601,Silver,36,2025-01-08,2027-12-24,115000,Active
CON-50602,CUST-10006,ASSET-50602,Silver,24,2024-12-29,2026-12-19,90000,Active
CON-50603,CUST-10006,ASSET-50603,Silver,36,2024-09-30,2027-09-15,95000,Active
CON-50701,CUST-10007,ASSET-50701,Gold,36,2024-03-14,2027-02-27,290000,Active
CON-50702,CUST-10007,ASSET-50702,Gold,36,2024-06-24,2027-06-09,275000,Active
CON-50703,CUST-10007,ASSET-50703,Gold,36,2024-09-07,2027-08-23,265000,Active
CON-50704,CUST-10007,ASSET-50704,Gold,24,2025-01-23,2027-01-13,205000,Active
CON-50705,CUST-10007,ASSET-50705,Gold,36,2024-08-12,2027-07-28,220000,Active
CON-50801,CUST-10008,ASSET-50801,Silver,24,2024-02-27,2026-02-16,130000,Active
CON-50802,CUST-10008,ASSET-50802,Silver,12,2024-11-19,2025-11-14,95000,Active
CON-50803,CUST-10008,ASSET-50803,Silver,24,2024-03-08,2026-02-26,110000,Active
CON-50901,CUST-10009,ASSET-50901,Gold,36,2024-11-18,2027-11-03,210000,Active
CON-50902,CUST-10009,ASSET-50902,Gold,36,2025-05-26,2028-05-10,210000,Active
CON-51001,CUST-10010,ASSET-51001,Bronze,36,2025-04-14,2028-03-29,45000,Active
CON-51002,CUST-10010,ASSET-51002,Bronze,12,2024-08-01,2025-07-31,35000,Expired
