Event_Id__c,Asset__r.Asset_Id__c,Fault_Code__c,Severity__c,Event_Timestamp__c,Resolution_Status__c,Resolved_Timestamp__c,RPM__c,Coolant_Temp_C__c,Hydraulic_Pressure_PSI__c,Description__c
EVT-202609171439-50101,ASSET-50101,HYD-447,Critical,2026-09-17T14:39:00Z,Open,,2160,102,4280,Hydraulic pressure spike — main pump output beyond 4250 psi for 47s
EVT-202609161821-50105,ASSET-50105,COOL-220,Critical,2026-09-16T18:21:00Z,Open,,1850,121,2100,Coolant temperature elevated — sustained >118C for 6 minutes
EVT-202609151621-50302,ASSET-50302,HYD-447,Critical,2026-09-15T16:21:00Z,Open,,2080,95,4310,Hydraulic pressure spike on lift cycle — secondary relief tripped twice
EVT-202609150821-50703,ASSET-50703,FUEL-073,Medium,2026-09-15T08:21:00Z,Resolved,2026-09-15T13:56:36Z,1707,84,2139,Fuel system anomaly — injector flow variance >12%
EVT-202609142021-50703,ASSET-50703,TRA-308,High,2026-09-14T20:21:00Z,Resolved,2026-09-14T21:49:52Z,1734,90,2279,Transmission slip detected on shift 4-5 under load
EVT-202609140621-50503,ASSET-50503,VIB-654,Critical,2026-09-14T06:21:00Z,Open,,1720,89,2050,Bearing vibration anomaly on alternator — ISO 10816 zone D exceeded
EVT-202609132221-50302,ASSET-50302,TRA-308,High,2026-09-13T22:21:00Z,Resolved,2026-09-14T02:44:57Z,1875,91,2086,Transmission slip detected on shift 4-5 under load
EVT-202609130221-50503,ASSET-50503,HYD-447,Critical,2026-09-13T02:21:00Z,Resolved,2026-09-13T19:03:36Z,2171,90,4214,Hydraulic pressure spike — main pump output beyond 4250 psi for 47s
EVT-202609130021-50703,ASSET-50703,ENG-105,Critical,2026-09-13T00:21:00Z,Open,,1980,99,2310,Engine oil pressure below safe threshold under load — derated
EVT-202609121021-50401,ASSET-50401,VIB-654,Critical,2026-09-12T10:21:00Z,Resolved,2026-09-12T21:12:45Z,1801,88,1803,Bearing vibration anomaly — ISO 10816 zone D exceeded for 8 minutes
EVT-202609111821-50401,ASSET-50401,LUB-016,Low,2026-09-11T18:21:00Z,Resolved,2026-09-12T00:58:12Z,1789,86,1964,Lubrication cycle skipped on bay 3 — operator notified
EVT-202609100221-50205,ASSET-50205,TRA-308,High,2026-09-10T02:21:00Z,Resolved,2026-09-10T05:11:22Z,1946,94,2103,Transmission slip detected on shift 4-5 under load
EVT-202609090921-50802,ASSET-50802,HYD-447,Critical,2026-09-09T09:21:00Z,Open,,2057,91,4214,Hydraulic pressure spike — main pump output beyond 4250 psi for 47s
EVT-202609080621-50106,ASSET-50106,BRK-512,Medium,2026-09-08T06:21:00Z,Resolved,2026-09-08T08:48:04Z,1567,83,2132,Brake pad wear over 70% — replacement window approaching
EVT-202609071421-51001,ASSET-51001,FUEL-073,Medium,2026-09-07T14:21:00Z,Resolved,2026-09-07T22:06:55Z,1796,90,1931,Fuel system anomaly — injector flow variance >12%
EVT-202609071321-50106,ASSET-50106,ENG-105,Critical,2026-09-07T13:21:00Z,Resolved,2026-09-07T17:47:41Z,1904,93,2312,Engine oil pressure below safe threshold (<22 psi at full load)
EVT-202609071221-50201,ASSET-50201,AIR-204,Low,2026-09-07T12:21:00Z,Resolved,2026-09-07T14:25:47Z,1675,83,2251,Air filter restriction approaching service threshold
EVT-202609052021-50101,ASSET-50101,COOL-220,Critical,2026-09-05T20:21:00Z,Resolved,2026-09-06T06:51:00Z,1767,119,2026,Coolant temperature elevated — sustained >118C for 6+ minutes
EVT-202609050221-50202,ASSET-50202,TRA-308,High,2026-09-05T02:21:00Z,Open,,1735,88,1955,Transmission slip detected on shift 4-5 under load
EVT-202609042121-50702,ASSET-50702,HYD-447,Critical,2026-09-04T21:21:00Z,Open,,2110,91,4268,Hydraulic pressure spike — main pump output beyond 4250 psi for 47s
EVT-202609042021-50102,ASSET-50102,VIB-654,Critical,2026-09-04T20:21:00Z,Resolved,2026-09-05T02:10:00Z,1742,86,2088,Bearing vibration anomaly — ISO 10816 zone D exceeded for 8 minutes
EVT-202609032021-50104,ASSET-50104,HYD-447,Critical,2026-09-03T20:21:00Z,Resolved,2026-09-04T08:51:00Z,2187,96,4267,Hydraulic pressure spike — main pump output beyond 4250 psi for 47s
EVT-202609021821-50105,ASSET-50105,HYD-447,Critical,2026-09-02T18:21:00Z,Open,,2069,89,4331,Hydraulic pressure spike — main pump output beyond 4250 psi for 47s
EVT-202609012021-50202,ASSET-50202,ENG-105,Critical,2026-09-01T20:21:00Z,Resolved,2026-09-02T08:33:00Z,2041,98,2398,Engine oil pressure below safe threshold (<22 psi at full load)
EVT-202609010221-50202,ASSET-50202,LUB-016,Low,2026-09-01T02:21:00Z,Resolved,2026-09-01T07:29:43Z,1614,87,2189,Lubrication cycle skipped on bay 3 — operator notified
EVT-202608311421-50901,ASSET-50901,ELE-091,High,2026-08-31T14:21:00Z,Resolved,2026-08-31T17:12:22Z,1571,81,1767,Electrical short detected on auxiliary harness
EVT-202608292021-50503,ASSET-50503,COOL-220,Critical,2026-08-29T20:21:00Z,Resolved,2026-08-30T09:06:00Z,1802,120,2012,Coolant temperature elevated — sustained >118C for 6+ minutes
EVT-202608272021-50201,ASSET-50201,VIB-654,Critical,2026-08-27T20:21:00Z,Resolved,2026-08-28T07:51:00Z,1570,93,2052,Bearing vibration anomaly — ISO 10816 zone D exceeded for 8 minutes
EVT-202608271821-50502,ASSET-50502,FUEL-073,Medium,2026-08-27T18:21:00Z,Resolved,2026-08-27T23:30:31Z,1788,83,1937,Fuel system anomaly — injector flow variance >12%
EVT-202608250021-50105,ASSET-50105,TRA-308,High,2026-08-25T00:21:00Z,Resolved,2026-08-25T05:56:46Z,1874,93,1914,Transmission slip detected on shift 4-5 under load
EVT-202608242021-50703,ASSET-50703,HYD-447,Critical,2026-08-24T20:21:00Z,Resolved,2026-08-25T08:21:00Z,1946,88,4228,Hydraulic pressure spike — main pump output beyond 4250 psi for 47s
